url,primary_category,vertical,channel,team,brand,status_code,has_coupons,has_promotions,first_seen,last_seen
https://www.usatoday.com/money/blueprint/l/best-cat-insurance-qsdh/,Pet Insurance,Insurance,Insurance,SEM,USAT,200,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-pet-wellness-insurance/,Pet Insurance,Insurance,Insurance,SEM,USAT,200,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/credit-cards/best/bad-credit-zx1fa/,Credit Cards,Finserv,Credit Cards,SEM,FA US,200,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/capital-one-shopping-savings-hack/,Credit Cards,Finserv,Credit Cards,NATIVE,USAT,200,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-vpn-services-uk-6/,VPN,SMB,SMB,SEM,FA US,200,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/not-a-scam-adr-ps-fb/,Debt Relief,Finserv,Loans & Mortgages,SOCIAL,FA US,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/credit-cards/best/balance-transfer-zx1fa/,Credit Cards,Finserv,Credit Cards,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/health/l/best-online-couples-counseling-v1/,Online Therapy,Health,Health,SEM,F.HLTH,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-auto-insurance-teens/,Car Insurance,Insurance,Insurance,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-web-hosting-services-sam/,Web Hosting,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/debt-relief-companies-v2/,Debt Relief,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-student-loan-condolidation/,Debt Relief,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/travel-medical-insurance-quotes-for-visitors-to-usa/,Inbound Travel,Insurance,Insurance,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-antivirus-as/,Antivirus,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-vpn-services-uk-4/,VPN,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/cancel-for-any-reason-travel-insurance-paused/,Travel Insurance,Insurance,Insurance,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-web-hosting-services-hr/,Web Hosting,SMB,SMB,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/ecommerce-platforms/,Website Builders,SMB,SMB,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/health/l/medicare-changes-2025-fb-v1/,Medicare,Health,Health,SOCIAL,F.HLTH,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-cd-rates-ms-sl2/,Deposit Accounts,Finserv,Banking,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/health/l/best-greens-powders/,Green powders,Health,Health,SEM,F.HLTH,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-voip-plans/,VoIP,SMB,SMB,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-pet-insurance-for-dogs-qsdh/,Pet Insurance,Insurance,Insurance,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/health/l/a-safer-more-comfortable-walk-in-tub-pn-msan/,Walk In Tubs,Health,Health,NATIVE,F.HLTH,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/health/l/talkspace-for-men-ps-fb/,Online Therapy,Health,Health,SOCIAL,F.HLTH,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/debt-relief-companies/,Debt Relief,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/connect-with-financial-advisor-dt/,Financial Advisor,Finserv,Investing,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/should-you-hire-financial-advisor-m/,Financial Advisor,Finserv,Investing,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-web-hosting-services-v3/,Web Hosting,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-business-grants/,Business Loans,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/joint-life-insurance/,Life Insurance,Insurance,Insurance,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-antivirus-ca/,Antivirus,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-credit-card-consolidation-loans-v2/,Debt Relief,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-web-hosting-services-m-v3/,Web Hosting,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/best-senior-life-insurance/,Life Insurance,Insurance,Insurance,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/expressvpn-vpn-review/,VPN,SMB,SMB,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.usatoday.com/money/blueprint/l/debt-management-companies/,Debt Relief,Finserv,Loans & Mortgages,SEM,USAT,0,0,0,2025-09-22,2025-09-22
https://www.forbes.com/advisor/l/best-website-builders-uk-4/,Website Builders,SMB,SMB,SEM,FA US,0,0,0,2025-09-22,2025-09-22
